event_date,hour,total_event_count
2023-01-01,0,8
2023-01-01,1,8
2023-01-01,2,8
2023-01-01,3,8
2023-01-01,4,8
2023-01-01,5,8
2023-01-01,6,10
2023-01-01,7,18
2023-01-01,8,54
2023-01-01,9,88
2023-01-01,10,106
2023-01-01,11,113
2023-01-01,12,127
2023-01-01,13,130
2023-01-01,14,121
2023-01-01,15,112
2023-01-01,16,103
2023-01-01,17,89
2023-01-01,18,65
2023-01-01,19,52
2023-01-01,20,41
2023-01-01,21,29
2023-01-01,22,26
2023-01-01,23,12
2023-01-02,0,7
2023-01-02,1,7
2023-01-02,2,7
2023-01-02,3,7
2023-01-02,4,7
2023-01-02,5,7
2023-01-02,6,11
2023-01-02,7,16
2023-01-02,8,31
2023-01-02,9,43
2023-01-02,10,54
2023-01-02,11,56
2023-01-02,12,62
2023-01-02,13,69
2023-01-02,14,69
2023-01-02,15,75
2023-01-02,16,84
2023-01-02,17,89
2023-01-02,18,86
2023-01-02,19,68
2023-01-02,20,61
2023-01-02,21,41
2023-01-02,22,32
2023-01-02,23,14
2023-01-03,0,8
2023-01-03,1,8
2023-01-03,2,8
2023-01-03,3,8
2023-01-03,4,8
2023-01-03,5,8
2023-01-03,6,8
2023-01-03,7,10
2023-01-03,8,32
2023-01-03,9,44
2023-01-03,10,54
2023-01-03,11,56
2023-01-03,12,57
2023-01-03,13,69
2023-01-03,14,69
2023-01-03,15,78
2023-01-03,16,81
2023-01-03,17,88
2023-01-03,18,79
2023-01-03,19,58
2023-01-03,20,52
2023-01-03,21,33
2023-01-03,22,28
2023-01-03,23,12
2023-01-04,0,6
2023-01-04,1,6
2023-01-04,2,6
2023-01-04,3,6
2023-01-04,4,6
2023-01-04,5,6
2023-01-04,6,6
2023-01-04,7,8
2023-01-04,8,27
2023-01-04,9,36
2023-01-04,10,50
2023-01-04,11,51
2023-01-04,12,55
2023-01-04,13,61
2023-01-04,14,61
2023-01-04,15,65
2023-01-04,16,73
2023-01-04,17,78
2023-01-04,18,75
2023-01-04,19,56
2023-01-04,20,54
2023-01-04,21,36
2023-01-04,22,27
2023-01-04,23,10
2023-01-05,0,7
2023-01-05,1,7
2023-01-05,2,7
2023-01-05,3,7
2023-01-05,4,7
2023-01-05,5,8
2023-01-05,6,9
2023-01-05,7,10
2023-01-05,8,31
2023-01-05,9,46
2023-01-05,10,60
2023-01-05,11,60
2023-01-05,12,64
2023-01-05,13,70
2023-01-05,14,71
2023-01-05,15,80
2023-01-05,16,84
2023-01-05,17,88
2023-01-05,18,82
2023-01-05,19,61
2023-01-05,20,55
2023-01-05,21,35
2023-01-05,22,29
2023-01-05,23,9
2023-01-06,0,6
2023-01-06,1,6
2023-01-06,2,6
2023-01-06,3,6
2023-01-06,4,6
2023-01-06,5,6
2023-01-06,6,7
2023-01-06,7,9
2023-01-06,8,24
2023-01-06,9,33
2023-01-06,10,44
2023-01-06,11,47
2023-01-06,12,51
2023-01-06,13,57
2023-01-06,14,59
2023-01-06,15,65
2023-01-06,16,67
2023-01-06,17,70
2023-01-06,18,66
2023-01-06,19,49
2023-01-06,20,43
2023-01-06,21,30
2023-01-06,22,23
2023-01-06,23,8
2023-01-07,0,5
2023-01-07,1,5
2023-01-07,2,5
2023-01-07,3,5
2023-01-07,4,5
2023-01-07,5,5
2023-01-07,6,7
2023-01-07,7,11
2023-01-07,8,66
2023-01-07,9,103
2023-01-07,10,136
2023-01-07,11,129
2023-01-07,12,146
2023-01-07,13,149
2023-01-07,14,138
2023-01-07,15,134
2023-01-07,16,119
2023-01-07,17,102
2023-01-07,18,79
2023-01-07,19,62
2023-01-07,20,52
2023-01-07,21,32
2023-01-07,22,27
2023-01-07,23,10
2023-01-08,0,5
2023-01-08,1,5
2023-01-08,2,5
2023-01-08,3,5
2023-01-08,4,5
2023-01-08,5,5
2023-01-08,6,11
2023-01-08,7,20
2023-01-08,8,62
2023-01-08,9,106
2023-01-08,10,128
2023-01-08,11,132
2023-01-08,12,152
2023-01-08,13,155
2023-01-08,14,139
2023-01-08,15,131
2023-01-08,16,122
2023-01-08,17,97
2023-01-08,18,71
2023-01-08,19,53
2023-01-08,20,44
2023-01-08,21,29
2023-01-08,22,24
2023-01-08,23,7
2023-01-09,0,4
2023-01-09,1,4
2023-01-09,2,4
2023-01-09,3,4
2023-01-09,4,4
2023-01-09,5,4
2023-01-09,6,5
2023-01-09,7,6
2023-01-09,8,23
2023-01-09,9,35
2023-01-09,10,48
2023-01-09,11,48
2023-01-09,12,55
2023-01-09,13,58
