event_date,hour,event_borough,total_event_count
2023-01-01,0,Manhattan,8
2023-01-01,1,Manhattan,8
2023-01-01,2,Manhattan,8
2023-01-01,3,Manhattan,8
2023-01-01,4,Manhattan,8
2023-01-01,5,Manhattan,8
2023-01-01,6,Manhattan,10
2023-01-01,7,Brooklyn,1
2023-01-01,7,Manhattan,12
2023-01-01,7,Queens,5
2023-01-01,8,Bronx,2
2023-01-01,8,Brooklyn,13
2023-01-01,8,Manhattan,20
2023-01-01,8,Queens,13
2023-01-01,8,Staten Island,6
2023-01-01,9,Bronx,3
2023-01-01,9,Brooklyn,22
2023-01-01,9,Manhattan,33
2023-01-01,9,Queens,20
2023-01-01,9,Staten Island,10
2023-01-01,10,Bronx,4
2023-01-01,10,Brooklyn,29
2023-01-01,10,Manhattan,38
2023-01-01,10,Queens,23
2023-01-01,10,Staten Island,12
2023-01-01,11,Bronx,4
2023-01-01,11,Brooklyn,37
2023-01-01,11,Manhattan,42
2023-01-01,11,Queens,20
2023-01-01,11,Staten Island,10
2023-01-01,12,Bronx,4
2023-01-01,12,Brooklyn,43
2023-01-01,12,Manhattan,51
2023-01-01,12,Queens,19
2023-01-01,12,Staten Island,10
2023-01-01,13,Bronx,4
2023-01-01,13,Brooklyn,43
2023-01-01,13,Manhattan,51
2023-01-01,13,Queens,21
2023-01-01,13,Staten Island,11
2023-01-01,14,Bronx,5
2023-01-01,14,Brooklyn,42
2023-01-01,14,Manhattan,48
2023-01-01,14,Queens,16
2023-01-01,14,Staten Island,10
2023-01-01,15,Bronx,8
2023-01-01,15,Brooklyn,38
2023-01-01,15,Manhattan,44
2023-01-01,15,Queens,12
2023-01-01,15,Staten Island,10
2023-01-01,16,Bronx,8
2023-01-01,16,Brooklyn,33
2023-01-01,16,Manhattan,42
2023-01-01,16,Queens,10
2023-01-01,16,Staten Island,10
2023-01-01,17,Bronx,7
2023-01-01,17,Brooklyn,29
2023-01-01,17,Manhattan,34
2023-01-01,17,Queens,10
2023-01-01,17,Staten Island,9
2023-01-01,18,Bronx,6
2023-01-01,18,Brooklyn,17
2023-01-01,18,Manhattan,27
2023-01-01,18,Queens,8
