date,hour,total_pickup_count,total_dropoff_count
2023-01-01,0,4304,3138
2023-01-01,1,4608,4737
2023-01-01,2,4102,4347
2023-01-01,3,3053,3284
2023-01-01,4,1929,2218
2023-01-01,5,752,916
2023-01-01,6,515,531
2023-01-01,7,596,602
2023-01-01,8,683,642
2023-01-01,9,1154,1067
2023-01-01,10,1848,1704
2023-01-01,11,2442,2346
2023-01-01,12,2801,2719
2023-01-01,13,2977,2903
2023-01-01,14,3029,2977
2023-01-01,15,3075,3012
2023-01-01,16,3048,3086
2023-01-01,17,3018,3009
2023-01-01,18,2739,2812
2023-01-01,19,2505,2555
2023-01-01,20,2124,2226
2023-01-01,21,2061,2096
2023-01-01,22,1642,1779
2023-01-01,23,1306,1389
2023-01-02,0,819,917
2023-01-02,1,528,567
2023-01-02,2,336,364
2023-01-02,3,249,262
2023-01-02,4,195,208
2023-01-02,5,171,160
2023-01-02,6,350,331
2023-01-02,7,666,611
2023-01-02,8,1014,925
2023-01-02,9,1610,1510
2023-01-02,10,2253,2160
2023-01-02,11,2784,2659
2023-01-02,12,3378,3248
2023-01-02,13,3657,3572
2023-01-02,14,3814,3747
2023-01-02,15,3902,3900
2023-01-02,16,3786,3824
2023-01-02,17,3813,3827
2023-01-02,18,3283,3426
2023-01-02,19,2797,2905
2023-01-02,20,2568,2511
2023-01-02,21,2403,2514
2023-01-02,22,1836,2008
2023-01-02,23,1068,1160
2023-01-03,0,629,732
2023-01-03,1,346,379
2023-01-03,2,234,242
2023-01-03,3,146,157
2023-01-03,4,127,134
2023-01-03,5,370,316
2023-01-03,6,1251,1067
2023-01-03,7,2638,2319
2023-01-03,8,3487,3364
2023-01-03,9,3504,3541
2023-01-03,10,4207,3893
2023-01-03,11,4308,4415
2023-01-03,12,4111,4200
2023-01-03,13,4070,3988
2023-01-03,14,4211,4075
2023-01-03,15,4322,4477
2023-01-03,16,4207,4164
2023-01-03,17,4727,4676
2023-01-03,18,4749,4891
2023-01-03,19,3811,4016
2023-01-03,20,2907,3020
2023-01-03,21,2838,2715
2023-01-03,22,2077,2360
2023-01-03,23,1353,1492
2023-01-04,0,789,850
2023-01-04,1,406,463
2023-01-04,2,258,282
2023-01-04,3,157,163
2023-01-04,4,132,137
2023-01-04,5,335,294
2023-01-04,6,1173,998
2023-01-04,7,2556,2181
2023-01-04,8,3632,3451
2023-01-04,9,3756,3811
2023-01-04,10,3724,3683
2023-01-04,11,3979,3860
2023-01-04,12,4286,4294
2023-01-04,13,4365,4378
2023-01-04,14,4628,4453
2023-01-04,15,5021,4978
2023-01-04,16,5464,5331
2023-01-04,17,5635,5576
2023-01-04,18,6860,6800
2023-01-04,19,5381,5947
2023-01-04,20,3632,3806
2023-01-04,21,3483,3521
2023-01-04,22,3008,3059
2023-01-04,23,1919,2219
2023-01-05,0,1066,1145
2023-01-05,1,532,580
2023-01-05,2,342,397
2023-01-05,3,223,225
2023-01-05,4,157,168
2023-01-05,5,335,293
2023-01-05,6,1200,1009
2023-01-05,7,2841,2431
2023-01-05,8,3822,3663
2023-01-05,9,4216,4132
2023-01-05,10,4085,4077
2023-01-05,11,4205,4195
2023-01-05,12,4642,4596
2023-01-05,13,4775,4780
2023-01-05,14,5036,4834
2023-01-05,15,5285,5413
2023-01-05,16,5051,4950
2023-01-05,17,6031,5759
2023-01-05,18,6354,6660
2023-01-05,19,5166,5461
2023-01-05,20,4443,4491
2023-01-05,21,4471,4390
2023-01-05,22,3722,3936
2023-01-05,23,2691,2931
2023-01-06,0,1648,1836
2023-01-06,1,901,967
2023-01-06,2,467,546
2023-01-06,3,244,257
2023-01-06,4,187,205
2023-01-06,5,354,318
2023-01-06,6,1013,888
2023-01-06,7,2505,2076
2023-01-06,8,3343,3279
2023-01-06,9,3608,3528
2023-01-06,10,3918,3880
2023-01-06,11,4040,3982
2023-01-06,12,4238,4285
2023-01-06,13,4527,4432
2023-01-06,14,5278,4971
2023-01-06,15,5174,5299
2023-01-06,16,5061,5060
2023-01-06,17,5992,5795
2023-01-06,18,6092,6187
2023-01-06,19,5732,5968
2023-01-06,20,4543,4673
2023-01-06,21,4762,4629
2023-01-06,22,5091,5062
2023-01-06,23,4511,4688
2023-01-07,0,4157,4244
2023-01-07,1,3441,3607
2023-01-07,2,2453,2700
2023-01-07,3,1450,1562
2023-01-07,4,630,773
2023-01-07,5,256,275
2023-01-07,6,481,434
2023-01-07,7,955,901
2023-01-07,8,1559,1413
2023-01-07,9,2566,2361
2023-01-07,10,3434,3282
2023-01-07,11,4185,4009
2023-01-07,12,4722,4595
2023-01-07,13,5051,5039
2023-01-07,14,4996,4942
2023-01-07,15,5106,5043
2023-01-07,16,5296,5122
2023-01-07,17,5416,5436
2023-01-07,18,5539,5463
2023-01-07,19,5489,5720
2023-01-07,20,4647,4716
2023-01-07,21,4731,4721
2023-01-07,22,5273,5186
2023-01-07,23,4766,4918
2023-01-08,0,4468,4636
2023-01-08,1,3861,3995
2023-01-08,2,2867,3091
2023-01-08,3,1700,1874
2023-01-08,4,790,973
2023-01-08,5,241,276
2023-01-08,6,380,348
2023-01-08,7,678,629
2023-01-08,8,1201,1117
2023-01-08,9,1959,1795
2023-01-08,10,3037,2867
2023-01-08,11,3624,3525
2023-01-08,12,4190,4072
2023-01-08,13,4312,4252
2023-01-08,14,4403,4373
2023-01-08,15,4165,4151
2023-01-08,16,4445,4405
2023-01-08,17,4011,4067
2023-01-08,18,3764,3953
2023-01-08,19,3090,3197
2023-01-08,20,2729,2779
2023-01-08,21,2464,2577
2023-01-08,22,1633,1783
2023-01-08,23,1136,1154
2023-01-09,0,753,846
2023-01-09,1,367,416
2023-01-09,2,242,265
2023-01-09,3,161,176
2023-01-09,4,158,163
2023-01-09,5,351,303
2023-01-09,6,1233,1055
2023-01-09,7,2609,2265
2023-01-09,8,3576,3395
2023-01-09,9,3634,3716
2023-01-09,10,3463,3432
2023-01-09,11,3651,3571
2023-01-09,12,3913,3941
2023-01-09,13,3705,3724
2023-01-09,14,4183,4013
2023-01-09,15,4651,4737
2023-01-09,16,4404,4388
2023-01-09,17,5167,4995
2023-01-09,18,5129,5317
2023-01-09,19,4402,4612
2023-01-09,20,3577,3680
2023-01-09,21,3163,3172
2023-01-09,22,2485,2666
2023-01-09,23,1379,1539
2023-01-10,0,758,864
2023-01-10,1,328,344
2023-01-10,2,204,224
2023-01-10,3,140,155
2023-01-10,4,133,137
2023-01-10,5,360,309
2023-01-10,6,1305,1124
2023-01-10,7,3025,2602
2023-01-10,8,4041,3805
2023-01-10,9,4221,4263
2023-01-10,10,4166,4117
2023-01-10,11,4226,4156
2023-01-10,12,4635,4622
2023-01-10,13,4698,4693
2023-01-10,14,5143,4929
2023-01-10,15,5374,5471
2023-01-10,16,5008,5058
2023-01-10,17,5927,5686
2023-01-10,18,6450,6561
2023-01-10,19,5687,5795
2023-01-10,20,5076,5355
2023-01-10,21,4777,4718
2023-01-10,22,3708,4048
2023-01-10,23,2022,2309
2023-01-11,0,1119,1215
2023-01-11,1,563,622
2023-01-11,2,272,318
2023-01-11,3,175,200
2023-01-11,4,138,135
2023-01-11,5,349,310
2023-01-11,6,1291,1105
2023-01-11,7,2997,2581
2023-01-11,8,4248,3915
2023-01-11,9,4326,4375
2023-01-11,10,4418,4419
2023-01-11,11,4519,4402
2023-01-11,12,4801,4882
