location_id,total_pickup_count,total_dropoff_count
2,25,6
3,124,386
4,72576,269210
5,0,4
6,83,95
7,24947,152390
8,128,824
9,104,534
10,1352,1058
11,161,317
12,31718,42191
13,408531,525416
14,627,9972
15,57,632
16,75,777
17,2200,42862
18,286,1702
19,175,188
20,195,1319
21,80,506
22,142,1122
23,30,20
24,174242,228605
25,17792,75206
26,320,2542
27,14,32
28,1005,1677
29,157,226
30,21,11
31,105,858
32,103,473
33,23596,150450
34,807,6696
35,236,1386
36,1773,24668
37,1979,38767
38,106,144
39,515,770
40,6554,45692
41,143963,384239
42,40156,223276
43,1233970,883902
44,4,2
45,90529,181518
46,15,18
47,405,2628
48,1896024,1647353
49,3273,60953
50,439141,777836
51,132,294
52,11248,36345
53,242,904
54,675,11888
55,154,247
56,505,6228
57,91,423
58,24,180
59,46,205
60,166,1628
61,2360,40774
62,583,11151
63,334,810
64,114,143
65,35344,72949
66,16245,85152
67,142,1988
68,1908150,1768475
69,1071,12982
70,244696,10211
71,225,1947
72,276,1564
73,49,379
74,130104,453414
75,392877,808968
76,885,1614
77,114,531
78,311,1924
79,1712827,1429026
80,7541,60708
81,43,116
82,3680,20800
83,1417,10781
84,4,3
85,357,2812
86,49,90
87,353208,479998
88,189185,245824
89,1249,15492
90,1171668,983360
91,297,1102
92,722,5653
93,3683,4946
94,209,1488
95,2833,30565
96,81,312
97,19537,65124
98,121,652
99,2,0
100,1172397,911981
101,88,147
102,180,3575
105,18,8
106,1129,14453
107,1528463,1388721
108,112,169
109,6,6
111,15,344
112,6903,111429
113,1012079,910911
114,998044,690709
115,7,2
116,37804,133867
117,43,63
118,23,22
119,861,7373
120,130,2147
121,573,1410
122,36,187
123,166,677
124,504,322
125,357770,335906
126,237,2665
127,1631,29436
128,204,2607
129,7458,55205
130,1561,2114
131,196,831
133,636,6930
134,1048,2855
135,367,2208
136,380,2601
137,775842,899380
139,75,113
140,1427535,1437581
141,1717821,1889343
142,2429258,2017530
143,759053,1062213
144,657092,650474
145,15413,131904
146,28343,43726
147,273,3184
148,738401,674619
149,102,515
150,118,159
151,559170,630793
152,38085,88284
153,194,1268
154,571,167
155,352,560
156,7,7
157,1796,11259
158,638347,705815
159,1387,10266
160,278,10788
161,3341531,2676076
162,2585364,1970313
163,2087529,1699869
164,1645628,1411044
165,239,1817
166,310242,473507
167,412,4209
168,3296,28074
169,605,4451
170,2122036,2060765
171,108,1088
172,11,14
173,486,6056
174,267,1182
175,61,352
176,5,2
177,425,3479
178,90,727
179,7662,49648
180,209,285
181,14327,115810
182,193,1529
183,59,286
184,23,44
185,171,811
186,2552874,1560067
187,10,18
188,1516,18286
189,3867,36675
190,937,6686
191,168,408
192,222,1219
193,7035,16803
194,1035,7451
195,3677,18708
196,1001,10313
197,754,2121
198,586,17090
199,26,0
200,269,6156
201,35,129
202,1532,32178
203,172,157
204,4,6
205,164,376
206,14,25
207,502,450
208,161,1019
209,126083,180727
210,122,312
211,547834,590652
212,183,1905
213,342,2752
214,13,18
215,562,548
216,1448,2083
217,1205,21341
218,181,229
219,911,362
220,796,11658
221,10,54
222,116,125
223,6602,62671
224,82379,274225
225,913,29140
226,31976,90382
227,210,4239
228,1004,16783
229,1376285,1513591
230,2277301,1918819
231,960476,1068846
232,72609,323049
233,863645,1068426
234,1995131,1697419
235,404,4102
236,3060646,3187719
237,3467462,3053065
238,1374757,1580666
239,2016876,1989490
240,42,407
241,311,2397
242,333,1266
243,5289,91798
244,31231,165806
245,9,9
246,1239443,1413141
247,3069,17119
248,140,1648
249,1661349,1211575
250,254,1304
251,9,16
252,204,1142
253,95,147
254,188,609
255,17437,126756
256,13977,124732
257,489,14436
258,163,1615
259,160,326
260,8493,32250
261,356459,305268
262,929256,1067635
263,1353442,1444706
