date,precip,snowfall,max_temp,min_temp,avg_wind_sp,avg_rel_humi,fog,heavy_fog,thunder,avg_temp
2023-01-01,0,0.0,128.0,94.0,22.0,64.0,1.0,0.0,0.0,111.0
2023-01-02,5,0.0,133.0,94.0,16.0,65.0,0.0,0.0,0.0,113.5
2023-01-03,107,0.0,144.0,83.0,14.0,89.0,1.0,0.0,0.0,113.5
2023-01-04,5,0.0,189.0,94.0,20.0,80.0,1.0,0.0,0.0,141.5
2023-01-05,3,0.0,100.0,67.0,23.0,90.0,1.0,0.0,0.0,83.5
2023-01-06,69,0.0,94.0,39.0,24.0,78.0,1.0,0.0,0.0,66.5
2023-01-07,0,0.0,72.0,28.0,30.0,61.0,0.0,0.0,0.0,50.0
2023-01-08,0,0.0,50.0,6.0,21.0,54.0,0.0,0.0,0.0,28.0
2023-01-09,3,0.0,67.0,28.0,20.0,62.0,1.0,0.0,0.0,47.5
2023-01-10,0,0.0,50.0,33.0,19.0,56.0,0.0,0.0,0.0,41.5
2023-01-11,0,0.0,39.0,17.0,29.0,56.0,0.0,0.0,0.0,28.0
2023-01-12,76,0.0,128.0,28.0,22.0,85.0,1.0,0.0,0.0,78.0
2023-01-13,23,0.0,139.0,33.0,32.0,75.0,1.0,0.0,0.0,86.0
2023-01-14,0,0.0,33.0,-5.0,40.0,63.0,0.0,0.0,0.0,14.0
2023-01-15,0,0.0,50.0,-10.0,43.0,49.0,0.0,0.0,0.0,20.0
2023-01-16,0,0.0,89.0,-21.0,34.0,34.0,0.0,0.0,0.0,34.0
2023-01-17,0,0.0,83.0,17.0,14.0,34.0,0.0,0.0,0.0,50.0
2023-01-18,13,0.0,117.0,56.0,34.0,60.0,0.0,0.0,0.0,86.5
2023-01-19,221,0.0,67.0,44.0,19.0,83.0,1.0,0.0,1.0,55.5
2023-01-20,0,0.0,94.0,44.0,30.0,68.0,1.0,0.0,0.0,69.0
2023-01-21,0,0.0,56.0,28.0,25.0,56.0,0.0,0.0,0.0,42.0
2023-01-22,130,0.0,56.0,22.0,21.0,67.0,1.0,0.0,0.0,39.0
2023-01-23,104,0.0,39.0,22.0,34.0,82.0,1.0,0.0,0.0,30.5
2023-01-24,0,0.0,78.0,17.0,31.0,51.0,0.0,0.0,0.0,47.5
2023-01-25,229,0.0,122.0,17.0,27.0,72.0,1.0,0.0,0.0,69.5
2023-01-26,112,0.0,139.0,50.0,40.0,61.0,1.0,0.0,0.0,94.5
2023-01-27,0,0.0,67.0,17.0,26.0,54.0,0.0,0.0,0.0,42.0
2023-01-28,0,0.0,111.0,22.0,32.0,43.0,0.0,0.0,0.0,66.5
2023-01-29,0,0.0,117.0,56.0,21.0,53.0,0.0,0.0,0.0,86.5
2023-01-30,0,0.0,128.0,61.0,13.0,62.0,0.0,0.0,0.0,94.5
2023-01-31,15,0.0,100.0,-5.0,19.0,65.0,1.0,0.0,0.0,47.5
2023-02-01,5,10.0,33.0,-32.0,25.0,49.0,0.0,0.0,0.0,0.5
2023-02-02,0,0.0,44.0,-16.0,22.0,38.0,0.0,0.0,0.0,14.0
2023-02-03,0,0.0,17.0,-116.0,53.0,36.0,0.0,0.0,0.0,-49.5
2023-02-04,0,0.0,-27.0,-160.0,39.0,36.0,0.0,0.0,0.0,-93.5
2023-02-05,0,0.0,94.0,-27.0,16.0,46.0,0.0,0.0,0.0,33.5
2023-02-06,0,0.0,111.0,11.0,22.0,55.0,0.0,0.0,0.0,61.0
2023-02-07,5,0.0,61.0,-10.0,22.0,58.0,0.0,0.0,0.0,25.5
2023-02-08,0,0.0,117.0,39.0,27.0,49.0,0.0,0.0,0.0,78.0
2023-02-09,0,0.0,128.0,56.0,16.0,63.0,0.0,0.0,0.0,92.0
2023-02-10,0,0.0,161.0,72.0,38.0,50.0,0.0,0.0,0.0,116.5
2023-02-11,0,0.0,78.0,22.0,26.0,40.0,0.0,0.0,0.0,50.0
2023-02-12,3,0.0,89.0,33.0,19.0,43.0,0.0,0.0,0.0,61.0
2023-02-13,0,0.0,139.0,50.0,33.0,28.0,0.0,0.0,0.0,94.5
2023-02-14,0,0.0,122.0,44.0,25.0,35.0,0.0,0.0,0.0,83.0
2023-02-15,0,0.0,194.0,83.0,20.0,45.0,0.0,0.0,0.0,138.5
2023-02-16,18,0.0,211.0,133.0,16.0,55.0,0.0,0.0,0.0,172.0
2023-02-17,46,0.0,161.0,0.0,32.0,71.0,1.0,0.0,0.0,80.5
2023-02-18,0,0.0,61.0,-27.0,37.0,41.0,0.0,0.0,0.0,17.0
2023-02-19,0,0.0,100.0,28.0,15.0,56.0,0.0,0.0,0.0,64.0
2023-02-20,0,0.0,161.0,83.0,27.0,58.0,0.0,0.0,0.0,122.0
2023-02-21,69,0.0,100.0,28.0,22.0,75.0,1.0,0.0,1.0,64.0
2023-02-22,36,0.0,67.0,28.0,27.0,64.0,1.0,0.0,0.0,47.5
2023-02-23,5,0.0,67.0,33.0,33.0,89.0,1.0,0.0,0.0,50.0
2023-02-24,0,0.0,72.0,-38.0,39.0,51.0,1.0,0.0,0.0,17.0
2023-02-25,0,0.0,6.0,-49.0,16.0,56.0,0.0,0.0,0.0,-21.5
2023-02-26,0,0.0,100.0,-10.0,24.0,59.0,0.0,0.0,0.0,45.0
2023-02-27,53,23.0,78.0,6.0,23.0,53.0,1.0,1.0,0.0,42.0
2023-02-28,86,23.0,33.0,0.0,25.0,89.0,1.0,0.0,0.0,16.5
2023-03-01,0,0.0,67.0,6.0,26.0,71.0,1.0,0.0,0.0,36.5
2023-03-02,0,0.0,122.0,39.0,25.0,71.0,1.0,0.0,0.0,80.5
2023-03-03,38,0.0,83.0,28.0,26.0,58.0,1.0,0.0,0.0,55.5
2023-03-04,251,0.0,72.0,33.0,36.0,78.0,1.0,0.0,0.0,52.5
2023-03-05,0,0.0,117.0,33.0,36.0,51.0,0.0,0.0,0.0,75.0
2023-03-06,0,0.0,111.0,44.0,24.0,37.0,0.0,0.0,0.0,77.5
2023-03-07,15,3.0,83.0,6.0,48.0,51.0,1.0,0.0,0.0,44.5
2023-03-08,0,0.0,89.0,-5.0,38.0,50.0,0.0,0.0,0.0,42.0
2023-03-09,0,0.0,106.0,6.0,35.0,51.0,0.0,0.0,0.0,56.0
2023-03-10,91,0.0,78.0,17.0,17.0,66.0,1.0,0.0,0.0,47.5
2023-03-11,102,0.0,72.0,17.0,37.0,76.0,1.0,0.0,0.0,44.5
2023-03-12,0,0.0,89.0,11.0,19.0,58.0,0.0,0.0,0.0,50.0
2023-03-13,170,0.0,72.0,33.0,32.0,90.0,1.0,0.0,0.0,52.5
2023-03-14,33,0.0,33.0,6.0,46.0,77.0,1.0,0.0,0.0,19.5
2023-03-15,0,0.0,72.0,11.0,58.0,45.0,0.0,0.0,0.0,41.5
2023-03-16,0,0.0,150.0,11.0,28.0,27.0,0.0,0.0,0.0,80.5
2023-03-17,0,0.0,156.0,83.0,15.0,41.0,0.0,0.0,0.0,119.5
2023-03-18,5,0.0,133.0,44.0,31.0,39.0,0.0,0.0,0.0,88.5
2023-03-19,0,0.0,44.0,-16.0,39.0,33.0,0.0,0.0,0.0,14.0
2023-03-20,0,0.0,106.0,-5.0,22.0,37.0,0.0,0.0,0.0,50.5
2023-03-21,0,0.0,172.0,44.0,26.0,24.0,0.0,0.0,0.0,108.0
2023-03-22,0,0.0,167.0,89.0,16.0,49.0,0.0,0.0,0.0,128.0
2023-03-23,23,0.0,156.0,89.0,21.0,79.0,1.0,0.0,0.0,122.5
2023-03-24,0,0.0,128.0,67.0,23.0,46.0,0.0,0.0,0.0,97.5
2023-03-25,38,0.0,83.0,56.0,36.0,77.0,1.0,0.0,0.0,69.5
2023-03-26,0,0.0,172.0,67.0,27.0,43.0,1.0,0.0,0.0,119.5
2023-03-27,74,0.0,167.0,61.0,26.0,49.0,1.0,0.0,0.0,114.0
2023-03-28,0,0.0,111.0,56.0,18.0,55.0,0.0,0.0,0.0,83.5
2023-03-29,0,0.0,128.0,39.0,26.0,42.0,0.0,0.0,0.0,83.5
2023-03-30,3,0.0,78.0,-5.0,33.0,34.0,0.0,0.0,0.0,36.5
2023-03-31,0,0.0,139.0,33.0,11.0,55.0,0.0,0.0,0.0,86.0
2023-04-01,97,0.0,222.0,106.0,22.0,70.0,1.0,0.0,1.0,164.0
2023-04-02,0,0.0,106.0,44.0,41.0,32.0,0.0,0.0,0.0,75.0
2023-04-03,0,0.0,150.0,39.0,20.0,46.0,0.0,0.0,0.0,94.5
2023-04-04,0,0.0,228.0,89.0,8.0,69.0,0.0,0.0,0.0,158.5
2023-04-05,0,0.0,139.0,78.0,38.0,88.0,1.0,0.0,0.0,108.5
2023-04-06,0,0.0,267.0,83.0,14.0,68.0,1.0,0.0,0.0,175.0
2023-04-07,0,0.0,156.0,56.0,36.0,25.0,0.0,0.0,0.0,106.0
2023-04-08,0,0.0,122.0,28.0,15.0,36.0,0.0,0.0,0.0,75.0
2023-04-09,0,0.0,139.0,44.0,19.0,45.0,0.0,0.0,0.0,91.5
2023-04-10,0,0.0,200.0,56.0,23.0,41.0,0.0,0.0,0.0,128.0
2023-04-11,0,0.0,239.0,106.0,26.0,24.0,0.0,0.0,0.0,172.5
2023-04-12,0,0.0,289.0,178.0,25.0,25.0,0.0,0.0,0.0,233.5
2023-04-13,0,0.0,322.0,194.0,25.0,27.0,0.0,0.0,0.0,258.0
2023-04-14,0,0.0,328.0,211.0,15.0,29.0,0.0,0.0,0.0,269.5
2023-04-15,5,0.0,239.0,150.0,16.0,77.0,1.0,0.0,0.0,194.5
2023-04-16,0,0.0,217.0,139.0,13.0,78.0,1.0,0.0,0.0,178.0
2023-04-17,0,0.0,200.0,117.0,26.0,67.0,1.0,0.0,0.0,158.5
2023-04-18,0,0.0,139.0,72.0,32.0,43.0,0.0,0.0,0.0,105.5
2023-04-19,0,0.0,178.0,72.0,26.0,44.0,0.0,0.0,0.0,125.0
2023-04-20,0,0.0,189.0,72.0,12.0,47.0,0.0,0.0,0.0,130.5
2023-04-21,0,0.0,217.0,106.0,23.0,62.0,0.0,0.0,0.0,161.5
2023-04-22,173,0.0,194.0,106.0,32.0,83.0,1.0,0.0,1.0,150.0
2023-04-23,384,0.0,206.0,100.0,25.0,70.0,1.0,0.0,0.0,153.0
2023-04-24,0,0.0,167.0,67.0,18.0,44.0,0.0,0.0,0.0,117.0
2023-04-25,0,0.0,156.0,78.0,11.0,43.0,0.0,0.0,0.0,117.0
2023-04-26,0,0.0,156.0,78.0,11.0,61.0,0.0,0.0,0.0,117.0
2023-04-27,0,0.0,139.0,94.0,14.0,73.0,0.0,0.0,0.0,116.5
2023-04-28,84,0.0,133.0,83.0,30.0,71.0,1.0,0.0,0.0,108.0
2023-04-29,625,0.0,117.0,83.0,38.0,95.0,1.0,0.0,0.0,100.0
2023-04-30,589,0.0,156.0,100.0,31.0,95.0,1.0,0.0,0.0,128.0
2023-05-01,23,0.0,161.0,94.0,31.0,55.0,1.0,0.0,0.0,127.5
2023-05-02,64,0.0,133.0,67.0,20.0,67.0,1.0,0.0,0.0,100.0
2023-05-03,0,0.0,139.0,83.0,14.0,63.0,0.0,0.0,0.0,111.0
2023-05-04,13,0.0,128.0,89.0,17.0,80.0,1.0,0.0,0.0,108.5
2023-05-05,0,0.0,189.0,89.0,9.0,65.0,1.0,0.0,0.0,139.0
2023-05-06,0,0.0,228.0,89.0,13.0,49.0,0.0,0.0,0.0,158.5
2023-05-07,5,0.0,256.0,122.0,13.0,46.0,0.0,0.0,0.0,189.0
2023-05-08,0,0.0,250.0,144.0,21.0,45.0,0.0,0.0,0.0,197.0
2023-05-09,0,0.0,217.0,122.0,13.0,37.0,0.0,0.0,0.0,169.5
2023-05-10,0,0.0,228.0,100.0,9.0,44.0,0.0,0.0,0.0,164.0
2023-05-11,0,0.0,267.0,139.0,17.0,33.0,0.0,0.0,0.0,203.0
2023-05-12,0,0.0,306.0,183.0,13.0,34.0,0.0,0.0,0.0,244.5
2023-05-13,0,0.0,278.0,189.0,13.0,37.0,0.0,0.0,0.0,233.5
2023-05-14,0,0.0,233.0,150.0,28.0,31.0,0.0,0.0,0.0,191.5
2023-05-15,0,0.0,233.0,111.0,17.0,32.0,0.0,0.0,0.0,172.0
2023-05-16,0,0.0,261.0,144.0,23.0,37.0,0.0,0.0,0.0,202.5
2023-05-17,0,0.0,206.0,100.0,26.0,33.0,0.0,0.0,0.0,153.0
2023-05-18,0,0.0,161.0,61.0,19.0,47.0,0.0,0.0,0.0,111.0
2023-05-19,0,0.0,211.0,111.0,10.0,62.0,0.0,0.0,0.0,161.0
2023-05-20,196,0.0,183.0,139.0,13.0,92.0,1.0,1.0,0.0,161.0
2023-05-21,5,0.0,211.0,128.0,21.0,58.0,1.0,0.0,0.0,169.5
2023-05-22,0,0.0,239.0,139.0,12.0,62.0,0.0,0.0,0.0,189.0
2023-05-23,0,0.0,211.0,122.0,13.0,60.0,0.0,0.0,0.0,166.5
2023-05-24,20,0.0,250.0,117.0,12.0,53.0,1.0,0.0,0.0,183.5
2023-05-25,0,0.0,200.0,100.0,33.0,44.0,0.0,0.0,0.0,150.0
2023-05-26,0,0.0,222.0,117.0,15.0,38.0,0.0,0.0,0.0,169.5
2023-05-27,0,0.0,256.0,133.0,15.0,38.0,0.0,0.0,0.0,194.5
2023-05-28,0,0.0,261.0,150.0,10.0,38.0,0.0,0.0,0.0,205.5
2023-05-29,0,0.0,261.0,150.0,24.0,45.0,0.0,0.0,0.0,205.5
2023-05-30,0,0.0,222.0,128.0,22.0,58.0,0.0,0.0,0.0,175.0
2023-05-31,0,0.0,250.0,106.0,10.0,63.0,0.0,0.0,0.0,178.0
2023-06-01,0,0.0,306.0,150.0,8.0,56.0,1.0,0.0,0.0,228.0
2023-06-02,61,0.0,328.0,189.0,9.0,59.0,1.0,0.0,1.0,258.5
2023-06-03,0,0.0,206.0,122.0,34.0,71.0,0.0,0.0,0.0,164.0
2023-06-04,0,0.0,206.0,94.0,26.0,56.0,0.0,0.0,0.0,150.0
2023-06-05,0,0.0,244.0,133.0,13.0,46.0,0.0,0.0,0.0,188.5
2023-06-06,0,0.0,261.0,156.0,17.0,43.0,0.0,0.0,1.0,208.5
2023-06-07,0,0.0,206.0,139.0,22.0,44.0,0.0,0.0,0.0,172.5
2023-06-08,0,0.0,222.0,128.0,12.0,52.0,0.0,0.0,0.0,175.0
2023-06-09,0,0.0,222.0,144.0,17.0,53.0,0.0,0.0,0.0,183.0
2023-06-10,0,0.0,256.0,144.0,17.0,53.0,0.0,0.0,0.0,200.0
2023-06-11,3,0.0,278.0,178.0,4.0,61.0,1.0,0.0,0.0,228.0
2023-06-12,76,0.0,256.0,189.0,13.0,79.0,1.0,0.0,0.0,222.5
2023-06-13,0,0.0,256.0,178.0,22.0,55.0,1.0,0.0,0.0,217.0
2023-06-14,36,0.0,244.0,172.0,17.0,67.0,1.0,0.0,0.0,208.0
2023-06-15,0,0.0,250.0,161.0,23.0,57.0,0.0,0.0,0.0,205.5
2023-06-16,58,0.0,261.0,172.0,12.0,67.0,1.0,0.0,1.0,216.5
2023-06-17,0,0.0,250.0,167.0,20.0,59.0,0.0,0.0,1.0,208.5
2023-06-18,0,0.0,267.0,167.0,20.0,51.0,0.0,0.0,0.0,217.0
2023-06-19,0,0.0,272.0,183.0,17.0,62.0,0.0,0.0,0.0,227.5
2023-06-20,0,0.0,256.0,178.0,24.0,64.0,0.0,0.0,0.0,217.0
2023-06-21,0,0.0,228.0,167.0,47.0,64.0,0.0,0.0,0.0,197.5
2023-06-22,0,0.0,222.0,156.0,39.0,72.0,1.0,0.0,0.0,189.0
2023-06-23,10,0.0,217.0,183.0,14.0,86.0,1.0,0.0,0.0,200.0
2023-06-24,18,0.0,256.0,206.0,3.0,85.0,1.0,0.0,0.0,231.0
2023-06-25,0,0.0,294.0,217.0,7.0,75.0,1.0,0.0,0.0,255.5
2023-06-26,130,0.0,256.0,200.0,18.0,84.0,1.0,0.0,1.0,228.0
2023-06-27,20,0.0,261.0,189.0,7.0,86.0,1.0,0.0,0.0,225.0
2023-06-28,0,0.0,278.0,189.0,17.0,68.0,1.0,0.0,0.0,233.5
2023-06-29,0,0.0,278.0,183.0,11.0,63.0,0.0,0.0,0.0,230.5
2023-06-30,0,0.0,289.0,211.0,8.0,60.0,1.0,0.0,0.0,250.0
2023-07-01,0,0.0,278.0,206.0,11.0,61.0,0.0,0.0,0.0,242.0
2023-07-02,147,0.0,311.0,211.0,10.0,80.0,1.0,0.0,1.0,261.0
2023-07-03,114,0.0,317.0,222.0,12.0,76.0,1.0,0.0,1.0,269.5
2023-07-04,160,0.0,283.0,228.0,3.0,83.0,1.0,1.0,1.0,255.5
2023-07-05,0,0.0,339.0,222.0,8.0,61.0,1.0,0.0,0.0,280.5
2023-07-06,0,0.0,322.0,239.0,6.0,67.0,0.0,0.0,0.0,280.5
2023-07-07,0,0.0,306.0,233.0,3.0,74.0,0.0,0.0,0.0,269.5
2023-07-08,0,0.0,311.0,244.0,13.0,75.0,0.0,0.0,0.0,277.5
2023-07-09,249,0.0,278.0,222.0,8.0,84.0,1.0,0.0,1.0,250.0
2023-07-10,0,0.0,289.0,217.0,17.0,67.0,1.0,0.0,0.0,253.0
2023-07-11,0,0.0,317.0,200.0,13.0,49.0,0.0,0.0,0.0,258.5
2023-07-12,0,0.0,328.0,244.0,14.0,46.0,0.0,0.0,0.0,286.0
2023-07-13,0,0.0,311.0,250.0,11.0,64.0,0.0,0.0,0.0,280.5
2023-07-14,122,0.0,289.0,217.0,20.0,76.0,1.0,0.0,1.0,253.0
2023-07-15,10,0.0,311.0,217.0,7.0,83.0,1.0,0.0,1.0,264.0
2023-07-16,335,0.0,256.0,233.0,7.0,91.0,1.0,1.0,1.0,244.5
2023-07-17,0,0.0,311.0,233.0,12.0,70.0,1.0,0.0,0.0,272.0
2023-07-18,56,0.0,289.0,228.0,6.0,78.0,1.0,0.0,1.0,258.5
2023-07-19,0,0.0,267.0,222.0,6.0,75.0,1.0,0.0,0.0,244.5
2023-07-20,0,0.0,311.0,222.0,12.0,63.0,1.0,0.0,0.0,266.5
2023-07-21,38,0.0,289.0,217.0,14.0,68.0,1.0,0.0,1.0,253.0
2023-07-22,0,0.0,294.0,211.0,14.0,50.0,0.0,0.0,0.0,252.5
2023-07-23,0,0.0,311.0,206.0,7.0,55.0,0.0,0.0,0.0,258.5
2023-07-24,0,0.0,294.0,233.0,14.0,61.0,0.0,0.0,0.0,263.5
2023-07-25,71,0.0,300.0,200.0,13.0,76.0,1.0,0.0,1.0,250.0
2023-07-26,0,0.0,306.0,200.0,9.0,66.0,1.0,0.0,0.0,253.0
2023-07-27,38,0.0,333.0,239.0,22.0,71.0,1.0,0.0,1.0,286.0
2023-07-28,0,0.0,333.0,239.0,11.0,63.0,1.0,0.0,1.0,286.0
2023-07-29,15,0.0,317.0,211.0,23.0,67.0,0.0,0.0,1.0,264.0
2023-07-30,0,0.0,267.0,189.0,21.0,51.0,0.0,0.0,0.0,228.0
2023-07-31,0,0.0,294.0,189.0,13.0,46.0,0.0,0.0,0.0,241.5
2023-08-01,0,0.0,278.0,183.0,21.0,46.0,0.0,0.0,0.0,230.5
2023-08-02,0,0.0,272.0,178.0,13.0,45.0,0.0,0.0,0.0,225.0
2023-08-03,0,0.0,267.0,189.0,14.0,55.0,0.0,0.0,0.0,228.0
2023-08-04,0,0.0,250.0,217.0,12.0,73.0,0.0,0.0,0.0,233.5
2023-08-05,0,0.0,306.0,217.0,15.0,57.0,0.0,0.0,0.0,261.5
2023-08-06,0,0.0,306.0,206.0,10.0,53.0,0.0,0.0,0.0,256.0
2023-08-07,284,0.0,272.0,200.0,9.0,86.0,1.0,0.0,0.0,236.0
2023-08-08,3,0.0,267.0,211.0,24.0,70.0,1.0,0.0,0.0,239.0
2023-08-09,0,0.0,300.0,206.0,31.0,48.0,0.0,0.0,0.0,253.0
2023-08-10,122,0.0,272.0,211.0,9.0,77.0,1.0,0.0,1.0,241.5
2023-08-11,0,0.0,294.0,194.0,17.0,62.0,1.0,0.0,0.0,244.0
2023-08-12,0,0.0,294.0,206.0,13.0,66.0,0.0,0.0,1.0,250.0
2023-08-13,175,0.0,311.0,206.0,21.0,67.0,1.0,0.0,0.0,258.5
2023-08-14,5,0.0,306.0,222.0,5.0,60.0,0.0,0.0,0.0,264.0
2023-08-15,196,0.0,267.0,211.0,21.0,85.0,1.0,0.0,0.0,239.0
2023-08-16,338,0.0,278.0,206.0,13.0,81.0,1.0,1.0,1.0,242.0
2023-08-17,0,0.0,261.0,222.0,17.0,82.0,1.0,0.0,0.0,241.5
2023-08-18,196,0.0,267.0,183.0,22.0,64.0,1.0,0.0,1.0,225.0
2023-08-19,0,0.0,256.0,172.0,22.0,53.0,0.0,0.0,0.0,214.0
2023-08-20,0,0.0,294.0,189.0,16.0,50.0,0.0,0.0,0.0,241.5
2023-08-21,0,0.0,311.0,228.0,20.0,59.0,0.0,0.0,0.0,269.5
2023-08-22,0,0.0,261.0,194.0,22.0,51.0,0.0,0.0,0.0,227.5
2023-08-23,0,0.0,267.0,178.0,14.0,50.0,0.0,0.0,0.0,222.5
2023-08-24,36,0.0,228.0,194.0,5.0,80.0,1.0,0.0,0.0,211.0
2023-08-25,112,0.0,256.0,206.0,6.0,90.0,1.0,0.0,0.0,231.0
2023-08-26,132,0.0,289.0,228.0,12.0,72.0,1.0,0.0,0.0,258.5
2023-08-27,0,0.0,289.0,211.0,21.0,63.0,0.0,0.0,0.0,250.0
2023-08-28,0,0.0,244.0,206.0,17.0,76.0,0.0,0.0,0.0,225.0
2023-08-29,0,0.0,267.0,200.0,19.0,77.0,0.0,0.0,0.0,233.5
